Model,MSO2024
Firmware Version,1.35

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,8e-08,
Filter Frequency,2e+08,
Record Length,125000,
Gating,49.20800% to 50.147200%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Label,,
TIME,CH1,CH1 Peak Detect
3.52080e-03,1.6,1.64
3.52088e-03,1.6,1.52
3.52096e-03,1.6,1.6
3.52104e-03,1.6,1.56
3.52112e-03,1.6,1.64
3.52120e-03,1.6,1.56
3.52128e-03,1.6,1.64
3.52136e-03,1.6,1.56
3.52144e-03,1.6,1.64
3.52152e-03,1.64,1.56
3.52160e-03,1.64,1.64
3.52168e-03,1.64,1.6
3.52176e-03,1.68,1.68
3.52184e-03,1.64,1.6
3.52192e-03,1.64,1.68
3.52200e-03,1.64,1.6
3.52208e-03,1.68,1.68
3.52216e-03,1.64,1.6
3.52224e-03,1.6,1.68
3.52232e-03,1.64,1.6
3.52240e-03,1.6,1.68
3.52248e-03,1.6,1.56
3.52256e-03,1.56,1.64
3.52264e-03,1.6,1.56
3.52272e-03,1.6,1.64
3.52280e-03,1.6,1.56
3.52288e-03,1.6,1.64
3.52296e-03,1.6,1.56
3.52304e-03,1.6,1.64
3.52312e-03,1.6,1.56
3.52320e-03,1.6,1.64
3.52328e-03,1.6,1.56
3.52336e-03,1.64,1.64
3.52344e-03,1.64,1.56
3.52352e-03,1.68,1.64
3.52360e-03,1.68,1.6
3.52368e-03,1.68,1.68
3.52376e-03,1.68,1.6
3.52384e-03,1.68,1.68
3.52392e-03,1.68,1.64
3.52400e-03,1.68,1.72
3.52408e-03,1.64,1.6
3.52416e-03,1.64,1.68
3.52424e-03,1.64,1.6
3.52432e-03,1.6,1.68
3.52440e-03,1.64,1.6
3.52448e-03,1.6,1.64
3.52456e-03,1.64,1.56
3.52464e-03,1.6,1.64
3.52472e-03,1.6,1.56
3.52480e-03,1.6,1.64
3.52488e-03,1.64,1.6
3.52496e-03,1.64,1.64
3.52504e-03,1.6,1.6
3.52512e-03,1.64,1.64
3.52520e-03,1.64,1.6
3.52528e-03,1.68,1.68
3.52536e-03,1.68,1.6
3.52544e-03,1.68,1.68
3.52552e-03,1.68,1.64
3.52560e-03,1.68,1.72
3.52568e-03,1.68,1.64
3.52576e-03,1.68,1.72
3.52584e-03,1.72,1.64
3.52592e-03,1.68,1.72
3.52600e-03,1.68,1.64
3.52608e-03,1.68,1.72
3.52616e-03,1.64,1.64
3.52624e-03,1.64,1.72
3.52632e-03,1.64,1.6
3.52640e-03,1.64,1.68
3.52648e-03,1.64,1.6
3.52656e-03,1.64,1.68
3.52664e-03,1.64,1.6
3.52672e-03,1.64,1.68
3.52680e-03,1.64,1.6
3.52688e-03,1.64,1.68
3.52696e-03,1.64,1.6
3.52704e-03,1.64,1.68
3.52712e-03,1.68,1.6
3.52720e-03,1.68,1.68
3.52728e-03,1.64,1.6
3.52736e-03,1.68,1.68
3.52744e-03,1.68,1.64
3.52752e-03,1.68,1.72
3.52760e-03,1.72,1.68
3.52768e-03,1.68,1.72
3.52776e-03,1.68,1.64
3.52784e-03,1.68,1.72
3.52792e-03,1.68,1.64
3.52800e-03,1.68,1.72
3.52808e-03,1.64,1.64
3.52816e-03,1.64,1.72
3.52824e-03,1.68,1.64
3.52832e-03,1.64,1.68
3.52840e-03,1.64,1.6
3.52848e-03,1.64,1.68
3.52856e-03,1.64,1.6
3.52864e-03,1.64,1.68
3.52872e-03,1.64,1.6
3.52880e-03,1.68,1.68
3.52888e-03,1.68,1.6
3.52896e-03,1.68,1.68
3.52904e-03,1.68,1.64
3.52912e-03,1.64,1.68
3.52920e-03,1.68,1.6
3.52928e-03,1.68,1.68
3.52936e-03,1.68,1.64
3.52944e-03,1.72,1.72
3.52952e-03,1.72,1.68
3.52960e-03,1.72,1.76
3.52968e-03,1.72,1.68
3.52976e-03,1.68,1.76
3.52984e-03,1.68,1.68
3.52992e-03,1.64,1.76
3.53000e-03,1.68,1.64
3.53008e-03,1.68,1.72
3.53016e-03,1.64,1.64
3.53024e-03,1.64,1.68
3.53032e-03,1.64,1.6
3.53040e-03,1.64,1.68
3.53048e-03,1.64,1.6
3.53056e-03,1.64,1.68
3.53064e-03,1.64,1.6
3.53072e-03,1.64,1.68
3.53080e-03,1.68,1.6
3.53088e-03,1.64,1.68
3.53096e-03,1.64,1.64
3.53104e-03,1.68,1.68
3.53112e-03,1.64,1.6
3.53120e-03,1.68,1.68
3.53128e-03,1.72,1.64
3.53136e-03,1.72,1.72
3.53144e-03,1.72,1.68
3.53152e-03,1.72,1.76
3.53160e-03,1.72,1.68
3.53168e-03,1.72,1.76
3.53176e-03,1.68,1.68
3.53184e-03,1.68,1.72
3.53192e-03,1.68,1.64
3.53200e-03,1.68,1.72
3.53208e-03,1.64,1.64
3.53216e-03,1.64,1.72
3.53224e-03,1.64,1.6
3.53232e-03,1.64,1.68
3.53240e-03,1.64,1.6
3.53248e-03,1.64,1.68
3.53256e-03,1.64,1.6
3.53264e-03,1.68,1.68
3.53272e-03,1.68,1.64
3.53280e-03,1.68,1.68
3.53288e-03,1.68,1.64
3.53296e-03,1.68,1.68
3.53304e-03,1.68,1.6
3.53312e-03,1.68,1.68
3.53320e-03,1.72,1.64
3.53328e-03,1.72,1.72
3.53336e-03,1.72,1.68
3.53344e-03,1.72,1.72
3.53352e-03,1.72,1.68
3.53360e-03,1.68,1.76
3.53368e-03,1.72,1.68
3.53376e-03,1.68,1.76
3.53384e-03,1.68,1.68
3.53392e-03,1.64,1.76
3.53400e-03,1.64,1.64
3.53408e-03,1.64,1.72
3.53416e-03,1.64,1.6
3.53424e-03,1.64,1.68
3.53432e-03,1.64,1.6
3.53440e-03,1.68,1.68
3.53448e-03,1.68,1.6
3.53456e-03,1.64,1.68
3.53464e-03,1.68,1.6
3.53472e-03,1.68,1.68
3.53480e-03,1.64,1.64
3.53488e-03,1.68,1.68
3.53496e-03,1.68,1.6
3.53504e-03,1.68,1.68
3.53512e-03,1.72,1.64
3.53520e-03,1.72,1.72
3.53528e-03,1.68,1.68
3.53536e-03,1.68,1.72
3.53544e-03,1.68,1.68
3.53552e-03,1.72,1.72
3.53560e-03,1.72,1.64
3.53568e-03,1.68,1.72
3.53576e-03,1.68,1.64
3.53584e-03,1.64,1.72
3.53592e-03,1.64,1.64
3.53600e-03,1.64,1.72
3.53608e-03,1.64,1.6
3.53616e-03,1.64,1.68
3.53624e-03,1.68,1.6
3.53632e-03,1.64,1.68
3.53640e-03,1.68,1.6
3.53648e-03,1.64,1.68
3.53656e-03,1.68,1.6
3.53664e-03,1.64,1.68
3.53672e-03,1.64,1.6
3.53680e-03,1.68,1.68
3.53688e-03,1.68,1.6
3.53696e-03,1.68,1.68
3.53704e-03,1.68,1.6
3.53712e-03,1.68,1.72
3.53720e-03,1.68,1.64
3.53728e-03,1.68,1.72
3.53736e-03,1.68,1.68
3.53744e-03,1.72,1.76
3.53752e-03,1.68,1.68
3.53760e-03,1.68,1.72
3.53768e-03,1.64,1.64
