Model,MSO2024
Firmware Version,1.35
,
Point Format,Y
Horizontal Units,S
Horizontal Scale,0.0002
Sample Interval,1.60E-08
Filter Frequency,2.00E+08
Record Length,125000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Label,
TIME,MATH
-9.98E-04,-0.12
-9.98E-04,-0.12
-9.98E-04,-0.12
-9.98E-04,0
-9.98E-04,-0.2
-9.98E-04,-0.08
-9.98E-04,-0.12
-9.98E-04,-0.12
-9.98E-04,-0.08
-9.98E-04,-0.04
-9.98E-04,-0.12
-9.98E-04,-0.08
-9.98E-04,-0.04
-9.98E-04,-0.12
-9.98E-04,-0.12
-9.98E-04,-0.08
-9.98E-04,-0.04
-9.98E-04,-0.12
-9.98E-04,-0.12
-9.98E-04,-0.08
-9.98E-04,-0.12
-9.98E-04,-0.12
-9.98E-04,-0.12
-9.97E-04,-0.12
-9.97E-04,-0.08
-9.97E-04,-0.12
-9.97E-04,-0.12
-9.97E-04,-0.12
-9.97E-04,-0.12
-9.97E-04,-0.12
-9.97E-04,-0.12
-9.97E-04,-0.04
-9.97E-04,-0.12
-9.97E-04,-0.12
-9.97E-04,-0.12
-9.97E-04,-0.12
-9.97E-04,-0.12
-9.97E-04,-0.12
-9.97E-04,-0.12
-9.97E-04,-0.12
-9.97E-04,-0.08
-9.97E-04,-0.12
-9.97E-04,-0.04
-9.97E-04,0
-9.97E-04,-0.28
-9.97E-04,-0.04
-9.97E-04,-0.12
-9.97E-04,-0.12
-9.97E-04,-0.12
-9.97E-04,-0.12
-9.97E-04,-0.12
-9.97E-04,-0.12
-9.97E-04,0
-9.97E-04,-0.2
-9.97E-04,-0.04
-9.97E-04,-0.04
-9.97E-04,-0.2
-9.97E-04,-0.04
-9.97E-04,-0.12
-9.97E-04,-0.12
-9.97E-04,-0.12
-9.97E-04,-0.12
-9.97E-04,-0.04
-9.97E-04,-0.08
-9.97E-04,-0.12
-9.97E-04,-0.12
-9.97E-04,-0.12
-9.97E-04,-0.04
-9.97E-04,-0.12
-9.97E-04,-0.08
-9.97E-04,-0.12
-9.97E-04,-0.04
-9.97E-04,-0.12
-9.97E-04,-0.04
-9.97E-04,-0.04
-9.97E-04,-0.12
-9.97E-04,-0.12
-9.97E-04,-0.08
-9.97E-04,-0.08
-9.97E-04,-0.12
-9.97E-04,-0.12
-9.97E-04,-0.12
-9.97E-04,-0.04
-9.97E-04,-0.12
-9.97E-04,-0.12
-9.96E-04,-0.04
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.08
-9.96E-04,-0.12
-9.96E-04,-0.04
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.08
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.04
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.16
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.08
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.08
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.08
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.08
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.08
-9.96E-04,-0.12
-9.96E-04,-0.08
-9.96E-04,-0.04
-9.96E-04,-0.08
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.04
-9.96E-04,-0.2
-9.96E-04,-0.04
-9.96E-04,-0.08
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.12
-9.96E-04,-0.08
-9.96E-04,-0.12
