f_s = 10000,
data,data_env
-1.79E-003,-3.18E-003
1.78E-003,-3.15E-003
1.13E-003,-3.18E-003
4.80E-004,-3.25E-003
4.80E-004,-3.26E-003
8.05E-004,-3.19E-003
3.08E-003,-3.08E-003
1.45E-003,-2.97E-003
-4.94E-004,-2.95E-003
-4.94E-004,-3.03E-003
1.78E-003,-3.20E-003
4.80E-004,-3.35E-003
-4.94E-004,-3.42E-003
-1.14E-003,-3.42E-003
1.13E-003,-3.46E-003
8.05E-004,-3.54E-003
1.55E-004,-3.64E-003
-4.94E-004,-3.72E-003
1.55E-004,-3.78E-003
8.05E-004,-3.77E-003
1.13E-003,-3.66E-003
1.13E-003,-3.29E-003
-1.70E-004,-2.33E-003
4.80E-004,-4.84E-004
9.25E-003,2.42E-003
-9.91E-003,6.71E-003
-1.51E-002,1.30E-002
1.67E-002,2.18E-002
4.37E-002,3.27E-002
-1.71E-002,4.42E-002
-8.20E-002,5.41E-002
-1.97E-002,6.01E-002
6.02E-002,6.13E-002
1.12E-002,5.80E-002
-4.66E-002,5.20E-002
-1.35E-002,4.54E-002
3.56E-002,4.00E-002
7.30E-003,3.66E-002
-3.62E-002,3.53E-002
-5.37E-003,3.52E-002
4.30E-002,3.56E-002
2.52E-002,3.57E-002
-2.88E-002,3.51E-002
-1.71E-002,3.37E-002
2.91E-002,3.17E-002
2.55E-002,2.97E-002
-1.93E-002,2.82E-002
-1.93E-002,2.74E-002
2.22E-002,2.72E-002
2.74E-002,2.75E-002
-1.87E-002,2.82E-002
-3.10E-002,2.89E-002
1.31E-002,2.91E-002
3.07E-002,2.84E-002
-9.26E-003,2.68E-002
-2.78E-002,2.44E-002
-1.70E-004,2.13E-002
1.64E-002,1.79E-002
-1.14E-003,1.45E-002
-1.41E-002,1.14E-002
-4.07E-003,8.66E-003
7.30E-003,6.44E-003
8.05E-004,4.59E-003
-6.99E-003,2.94E-003
-2.44E-003,1.49E-003
4.80E-004,3.71E-004
4.80E-004,-4.11E-004
-4.94E-004,-9.69E-004
-1.79E-003,-1.33E-003
-8.19E-004,-1.38E-003
8.05E-004,-1.13E-003
-4.94E-004,-7.40E-004
-1.70E-004,-2.20E-004
3.73E-003,4.41E-004
6.00E-003,1.05E-003
4.80E-004,1.44E-003
